No. of Estimators,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train MDAE,Test MDAE,Train EVS,Test EVS,Train R2,Test R2
1,0.0007235348076196155,0.0007417943851746897,0.026897739983254877,0.027203118563082333,0.01590165637755523,0.01601254347610845,0.009063082541501866,0.009108121568198197,0.7582618371591,0.7521146685457003,0.7582557688663624,0.7520220509485533
2,0.0007224937372997959,0.0007438055273018676,0.026878592430601457,0.027245971140515936,0.015905867472161737,0.016047062401808983,0.009070628776570413,0.009139473718119243,0.7586118722255172,0.7513557400316354,0.758604147497785,0.7512723320417798
3,0.0006820322605222175,0.000719367347041939,0.026113820452284848,0.026795177268946008,0.01641404170953043,0.016564618407817054,0.009979678417352844,0.010025357434655864,0.7732449127760378,0.760665819517618,0.772119621874413,0.7594198477637941
4,0.0006776502841270898,0.0007139040873468772,0.026030210013833682,0.026692620222058424,0.01626651097495595,0.016401472032670342,0.009645553248965157,0.009670139062551684,0.7746350134572338,0.7623107421637277,0.7735825805633505,0.7611782175792977
5,0.0006942752850060317,0.0007376221993665707,0.02634526986499237,0.0271264629110619,0.01685808161753832,0.017000795504108147,0.0110721139513374,0.011091558650413174,0.7727301069704754,0.7579229113225517,0.7680236018738933,0.7530981488173019
6,0.0006819525391279436,0.0007298196855081806,0.026112656945389872,0.02698484905102503,0.016762966202105697,0.016921572808114956,0.011124100846703218,0.011125960677206323,0.7763230515318711,0.7600582046406095,0.7721543525405136,0.7557142405349734
7,0.0006898131993565891,0.0007327009615014399,0.026262297284192698,0.027049151971315504,0.01691373476884597,0.017040035650951982,0.011236889832378107,0.01124280754380268,0.7752578437974994,0.760467769523017,0.7695230105670258,0.7546611469402784
8,0.0006909789590364508,0.0007389879075615318,0.026284967700793836,0.027160787853837697,0.01701341944961671,0.017156627908146857,0.011535571676805969,0.011537505706819383,0.7752945136965701,0.7589984041362698,0.7691341356571381,0.7526465386067502
9,0.000700155218016675,0.0007483808747509703,0.02645846759602442,0.02733287185903808,0.017245708789008538,0.01738429584570809,0.01198239801159652,0.011997678609444704,0.7737549746571537,0.7573379572614963,0.7660691564826585,0.7495155559197783
10,0.0007010000864695707,0.0007534083321878043,0.02647416830135127,0.02742692968022287,0.017363545551326565,0.017529546065590346,0.012261145609694013,0.012282986129583355,0.7743216104463464,0.756454883472707,0.7657837348458972,0.7477545795054327
