No. of Estimators,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train MDAE,Test MDAE,Train EVS,Test EVS,Train R2,Test EVS
10,0.0007017126761132721,0.000752839619286846,0.026487899688318356,0.027410687365950474,0.017314233769736963,0.017454529272552352,0.01208640612154439,0.012075740535342248,0.7742798936805265,0.7569551513094693,0.7655440372422501,0.7569551513094693
20,0.000758240897280284,0.0008170688444089084,0.027533086334860943,0.028562471666950216,0.019071711363040332,0.01922885944519382,0.01481721282374577,0.014844383772152867,0.7726218363237584,0.7525428218624785,0.7466572269024273,0.7525428218624785
30,0.0008492731988670808,0.0009124646494000173,0.02913282658368659,0.030179474163131683,0.021305031683035394,0.021470298238487277,0.017781575775038725,0.017794654945457244,0.7716615294842852,0.7502905557445352,0.7162571514799307,0.7502905557445352
40,0.0009815652082536131,0.0010464157249685199,0.031275692863134474,0.032279448890655364,0.024086536399282283,0.024259600093150237,0.021384690470177055,0.021411097026780186,0.768505182386993,0.7463328203937971,0.672044894897386,0.7463328203937971
50,0.0012512786446209861,0.0013211271919838898,0.03514817233444611,0.03614154714118983,0.02852767249560682,0.0287326055003803,0.026679841772668196,0.026737482072883338,0.754427363842578,0.7307708453248246,0.5819122650985201,0.7307708453248246
60,0.00178346428915784,0.0018501228895674415,0.04154724944646405,0.042369620484054106,0.035423908228337526,0.03556272587167943,0.03506960418399725,0.035055528468766875,0.7237272422598661,0.6999038325134801,0.40414658279654864,0.6999038325134801
70,0.0022627003948939074,0.002332584194509006,0.04645673956866718,0.04722915723117114,0.04039840725674866,0.04058537390391461,0.041053341281463,0.041080591658226744,0.6940083343843216,0.6704042932284683,0.24400465909489996,0.6704042932284683
80,0.0025041008629044133,0.002566965004850894,0.048564166312898546,0.04924575147806506,0.04245384950647466,0.042589931640532604,0.04368590628267041,0.043639592564151376,0.681135358012234,0.6573796514854946,0.16307329612937724,0.6573796514854946
90,0.0025176540609559107,0.002585863370796352,0.04835642512443663,0.04906612964581427,0.042158032701564645,0.04233868438419467,0.043280482515288,0.043358901146835285,0.6801093712202184,0.6571369439999308,0.15874371375472088,0.6571369439999308
100,0.002635378700451881,0.002703878295457372,0.04976773024693847,0.05048095149828848,0.04363291858457862,0.04382378946846257,0.04503303684182058,0.045057755427942284,0.6732489358891987,0.6497150922613999,0.11942263285110463,0.6497150922613999
