Criterion,Splitter,Max Depth,MSE,RMSE,MAE,MDAE,EVS,R2
mse,best,2,0.0009797411766015792,0.03126109533096691,0.019217916903598337,0.011148933155046878,0.6730969169556748,0.6730108840680756
mse,best,3,0.0007486316869597159,0.027316513012939993,0.016025084152662378,0.009135745684499097,0.7500079037190721,0.749888615581886
mse,best,4,0.0006740139283242998,0.025929701623708935,0.014948889818416664,0.008347383212216355,0.7749381832125156,0.7748697291801091
mse,best,5,0.0006403389693838181,0.02527914470773253,0.014488703575437776,0.008074715509107402,0.785789107959468,0.7857166409279337
mse,best,6,0.0006352452188978102,0.025164972623877152,0.014240403875948007,0.007910015628937518,0.7877523890865357,0.7876953534672058
mse,best,7,0.0006532213621521399,0.02552054346014405,0.014189253700321584,0.007873729808782697,0.7814557072643293,0.7813973042110335
mse,random,2,0.0017163773988831481,0.04109457032770532,0.027876380021731526,0.021042345969200536,0.4256364121629661,0.425439671672654
mse,random,3,0.0012524607993341958,0.035139867729405166,0.022898665260715805,0.01564265686943134,0.5793110653005376,0.5791984336531157
mse,random,4,0.0009596439561265189,0.030756758596133936,0.01923718765463878,0.012360162989760025,0.6782707882920528,0.6781739420181527
mse,random,5,0.0008142021160920005,0.028383458222436694,0.01729628259410348,0.010480948505378888,0.7275819405149271,0.7274711655410135
mse,random,6,0.0007454455260015662,0.027214736501525415,0.016143545255864467,0.009606858867770551,0.7510878218987364,0.75101514341957
mse,random,7,0.0007120831225684185,0.026611080602825535,0.015343164585631612,0.00871746052856662,0.7622144704255033,0.7621346823767554
friedman_mse,best,2,0.0009793666619337049,0.0312603446946846,0.019195773984557383,0.011096674999512286,0.6730644831609262,0.6729586679867624
friedman_mse,best,3,0.0007448165932677121,0.027263811494099087,0.01601622364669357,0.009117623965494981,0.7510793014007482,0.7509830777940434
friedman_mse,best,4,0.0006727877692869135,0.025911697371340726,0.014938074509370044,0.00833939815726249,0.7751570641605463,0.775103487101117
friedman_mse,best,5,0.00064538553964445,0.025373613981287853,0.014503055596424872,0.008079525868361831,0.7843446270795136,0.784287504296891
friedman_mse,best,6,0.0006291566833225376,0.025045397829320873,0.014237862191372035,0.007905256605523886,0.7897406806478129,0.7896785651099409
friedman_mse,best,7,0.000649165073437739,0.025441278801409034,0.01418584397798646,0.007891944992049958,0.7829281995538199,0.7828709449981365
friedman_mse,random,2,0.0017016550893635435,0.040916428441458444,0.02734661527523786,0.01998127570566365,0.430950886243221,0.43076880825076286
friedman_mse,random,3,0.0012465214635906808,0.03502607002126546,0.022618454385957665,0.01521244392509179,0.5822122983811886,0.5820719339513893
friedman_mse,random,4,0.0009547438887525418,0.030645004863777355,0.01915891785398946,0.012175691905437968,0.6815918448403273,0.6815164658190603
friedman_mse,random,5,0.0008194109524045342,0.028456554301718662,0.017284837120729174,0.010509458347216971,0.7257963840613748,0.7257121730215652
friedman_mse,random,6,0.0007709317178643194,0.027635147387245027,0.016349854340730042,0.00951006550921153,0.742358075960051,0.7422620893420191
friedman_mse,random,7,0.0006961358712559081,0.026318879297257843,0.015285269796553869,0.00872581249357209,0.7674719297056124,0.7674175239297842
