Combinations,MSE,RMSE,MAE,MDAE,EVS,R2
['None'],0.001370689056340482,0.03677476572590846,0.029578235934571127,0.027918373744020016,0.7294847367880655,0.5410254647417335
['MLR'],0.0008146047211212619,0.028527446736942106,0.019350084558216338,0.014149186039453046,0.7285035851954277,0.7270351893600734
['DTR(6)'],0.0007238277217639781,0.026879207479793502,0.018152685035099408,0.012510350918585482,0.7913065136284062,0.757727170990291
['SVR(L)'],0.001994019382831919,0.044477076791389444,0.033993458277291125,0.02770889356191326,0.33916027379478597,0.33034365054984505
['PR(4)'],0.006079506770370905,0.07790907731318115,0.056830645148812,0.04309845598403039,-1.0188846440306505,-1.0424864672564165
"['None', 'MLR']",0.0008352837815951984,0.028862253664183362,0.02017537146880942,0.015007076458736295,0.7757952103927708,0.7203988694714997
"['None', 'DTR(6)']",0.0009334292713514637,0.030484400684564643,0.02337237098300617,0.01999960996959304,0.7812540174393025,0.6874792185749592
"['None', 'SVR(L)']",0.0009918937134005218,0.03145717249585462,0.022419635728173733,0.017486810975488022,0.6985567561263203,0.6676051743547232
"['None', 'PR(4)']",0.0022247988684009666,0.04713230480157472,0.03497433095288725,0.026867986857574883,0.3343452835693527,0.2530633697752
"['MLR', 'DTR(6)']",0.0006741813782451802,0.025946477454732525,0.01661906077391408,0.01064071834947848,0.786574156774938,0.7743938038109658
"['MLR', 'SVR(L)']",0.001211891418336472,0.03476336687408158,0.025514434810977708,0.020117708620063103,0.5942724516044735,0.5932731870032542
"['MLR', 'PR(4)']",0.002079691871701553,0.045578478749853144,0.03319976042833673,0.025092476836496208,0.3105579176200576,0.3017305559464109
"['DTR(6)', 'SVR(L)']",0.0009077223528094709,0.030086982114682973,0.021427421321467813,0.01658062215854729,0.6984309901741086,0.6957728330718463
"['DTR(6)', 'PR(4)']",0.0020163083215793977,0.04487593641195106,0.032739329129937385,0.024820519096181198,0.3499862221342578,0.3231283355826756
"['SVR(L)', 'PR(4)']",0.002429497331319101,0.04925457428158172,0.036792020948430565,0.028904407490994023,0.18594239412617394,0.18386465627043402
"['None', 'MLR', 'DTR(6)']",0.0007624951361712943,0.02758400378171832,0.019164003300760794,0.013756315730360968,0.7916887447573494,0.7448110824819559
"['None', 'MLR', 'SVR(L)']",0.0008863291658927895,0.02974996813904486,0.02048344386472022,0.015032002907606699,0.7197054529684422,0.7029671798518062
"['None', 'MLR', 'PR(4)']",0.0013660330598842469,0.036940237457346245,0.026660742140786942,0.02005782115025092,0.5826322187084313,0.5416885548807836
"['None', 'DTR(6)', 'SVR(L)']",0.0008048494654788274,0.028344433764503362,0.0194225308063366,0.014207170138372414,0.7614461700830744,0.7304814019693606
"['None', 'DTR(6)', 'PR(4)']",0.0013915691440946612,0.037278343946534606,0.02742915263389378,0.021132715542338695,0.5956039429095368,0.5331575030284147
"['None', 'SVR(L)', 'PR(4)']",0.0014600604936598949,0.03819048874496244,0.02775577506189577,0.021148534049179733,0.5361797076372431,0.5099166837295852
"['MLR', 'DTR(6)', 'SVR(L)']",0.0008491920857608148,0.02911710209314365,0.020285390038610143,0.015205906898251086,0.7175711135106068,0.7154059205160059
"['MLR', 'DTR(6)', 'PR(4)']",0.001273643008094264,0.03567116085063954,0.02552046741121932,0.01908191940373378,0.5875053034804255,0.5727483209184736
"['MLR', 'SVR(L)', 'PR(4)']",0.001555132401233824,0.039413796784390304,0.028996467569548733,0.022582304282542483,0.47936798204925074,0.47784235824743254
"['DTR(6)', 'SVR(L)', 'PR(4)']",0.001401862016429453,0.03742109702089818,0.027311323804750497,0.02094427687624547,0.5362062535939578,0.5294976606017894
"['None', 'MLR', 'DTR(6)', 'SVR(L)']",0.0007757078686773716,0.02783241725929147,0.018649529906604612,0.013030737053942705,0.7601640069521427,0.7402143371165696
"['None', 'MLR', 'DTR(6)', 'PR(4)']",0.0010673448395188618,0.0326523400270494,0.023273501506913208,0.01738523224664265,0.6808269280350138,0.6421358685609678
"['None', 'MLR', 'SVR(L)', 'PR(4)']",0.0011609117548553823,0.03405696082779714,0.024244845926179637,0.018106342308585953,0.6275845093913337,0.6104942235309762
"['None', 'DTR(6)', 'SVR(L)', 'PR(4)']",0.0011049070983018203,0.03322315134108332,0.023675698351817,0.017739614277680768,0.6569955558698031,0.6294021695292781
"['MLR', 'DTR(6)', 'SVR(L)', 'PR(4)']",0.0011283283439867857,0.03357497783454122,0.024082941178157426,0.018221855980371383,0.6264303170350061,0.6214633999659225
"['None', 'MLR', 'DTR(6)', 'SVR(L)', 'PR(4)']",0.0009708340111068667,0.031143703812738163,0.021753163731595443,0.015912504110649053,0.6941660081487568,0.6744761996116521
