Estimators,MSE,RMSE,MAE,MDAE,EVS,R2
30,0.000964367,0.031036369,0.025219948,0.023143334,0.801266583,0.676983056
40,0.000619702,0.024865044,0.016742181,0.011349801,0.80796647,0.792760901
50,0.000571991,0.023888483,0.014647372,0.008669584,0.810621287,0.808712951
60,0.000560419,0.023647918,0.01405115,0.007971025,0.812824337,0.812540093
70,0.000557792,0.023586909,0.013838256,0.007780256,0.813458086,0.813365438
80,0.000555648,0.023543012,0.013741037,0.0077086,0.814297915,0.814241621
90,0.000551809,0.023460981,0.013673993,0.007675299,0.815635571,0.815571807
100,0.000550979,0.023444294,0.01362916,0.007651557,0.815780698,0.81571313
150,0.000548174,0.02337976,0.013529782,0.007610008,0.816760274,0.816709322
200,0.000547486,0.023366687,0.013469961,0.007592278,0.817007658,0.816954553
